"Tableau VII-6: Âge moyen au premier mariage par sexe et région","","","","","",""
"Région","Homme","","Femme","","Ensemble",""
"Ziguinchor","","32,9","","25,7","","29,3"
"Dakar","","31,7","","26,3","","28,8"
"Thiès","","30,9","","24,2","","27,5"
"Saint Louis","","30","","22,7","","26,2"
"Fatick","","29,9","","22,4","","26"
"Sédhiou","","29,6","","22","","25,7"
"Kaolack","","29,3","","21,6","","25,3"
"Diourbel","","29","","22","","25,2"
"Matam","","28,8","","21,3","","24,9"
"Louga","","28,2","","21,7","","24,7"
"Kédougou","","27,9","","20,3","","24,3"
"Kolda","","27,6","","20,4","","23,9"
"Tambacounda","","27,3","","20,6","","23,8"
"Kaffrine","","27,4","","19,8","","23,4"
"Sénégal","","30","","23,1","","26,4"
"Source : ANSD.RGPH-5, 2023","","","","","",""
