"T","ableau XI-6 : Prévalence du handicap (%) par région selon le type de handicap","","","","","",""
"","","","","Types d'handicap","","",""
"","","","","","Difficultés à","","Prévalence"
"Région","Difficultés","Difficultés à","Difficultés à","Difficultés à","","Difficultés à",""
"","","","","","prendre soin","","totale"
"","à voir","entendre","marcher","se souvenir","","communiquer",""
"","","","","","de soi-même","",""
"Dakar","4,7","1,1","2,6","1,1","0,9","0,8","7,4"
"Ziguinchor","5,8","1,8","3,7","1,8","1,2","1,0","9,8"
"Diourbel","3,1","1,9","3,4","1,6","1,4","1,4","6,7"
"Saint-Louis","5,4","2,3","5,0","2,0","1,6","1,5","9,7"
"Tambacounda","2,9","1,7","3,0","1,5","1,2","1,3","6,0"
"Kaolack","3,5","1,8","3,8","1,7","1,4","1,3","7,5"
"Thiès","3,3","1,3","3,0","1,3","1,0","0,9","6,6"
"Louga","3,5","2,0","3,8","1,6","1,4","1,2","7,5"
"Fatick","3,6","1,7","3,7","1,5","1,3","1,2","7,4"
"Kolda","3,8","2,2","3,6","2,0","1,5","1,6","7,4"
"Matam","3,9","1,8","3,9","1,5","1,2","1,1","7,5"
"Kaffrine","3,0","1,9","3,1","1,5","1,2","1,3","6,3"
"Kédougou","2,7","1,5","2,7","1,5","1,1","1,1","5,9"
"Sedhiou","3,1","1,5","3,0","1,5","1,2","1,0","6,7"
"Total","3,9","1,6","3,3","1,5","1,2","1,1","7,3"
"","Source : ANSD. RGPH-5, 2023","","","","","",""
